Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,0.176,9,9,687
2,Java,0.166,9,8,466
3,Java,0.153,9,8,561
4,Java,0.154,9,6,474
5,Java,0.158,9,6,519
6,Java,0.148,9,7,422
7,Java,0.159,9,9,627
8,Java,0.155,9,8,539
9,Java,0.149,9,9,613
10,Java,0.169,9,10,613
11,Java,0.166,9,8,638
12,Java,0.213,9,7,355
13,Java,0.174,9,10,692
14,Java,0.194,9,8,622
15,Java,0.141,9,7,436
16,Java,0.176,9,9,592
17,Java,0.140,9,11,767
18,Java,0.148,9,10,779
19,Java,0.148,9,10,757
20,Java,0.150,9,8,669
21,Java,0.164,9,9,688
22,Java,0.138,9,9,642
23,Java,0.140,9,9,541
24,Java,0.162,9,10,567
25,Java,0.188,9,9,554
26,Java,0.156,9,8,542
27,Java,0.144,9,9,569
28,Java,0.165,9,8,447
29,Java,0.178,9,9,660
30,Java,0.143,9,8,549
31,Java,0.144,9,8,526
32,Java,0.155,9,8,544
33,Java,0.165,9,9,707
34,Java,0.156,9,8,525
35,Java,0.148,9,10,780
36,Java,0.162,9,9,704
37,Java,0.160,9,9,656
38,Java,0.167,9,8,565
39,Java,0.164,9,10,748
40,Java,0.161,9,9,590
41,Java,0.180,9,9,595
42,Java,0.166,9,9,624
43,Java,0.184,9,8,647
44,Java,0.183,9,9,632
45,Java,0.162,9,9,554
46,Java,0.176,9,9,604
47,Java,0.202,9,9,602
48,Java,0.147,9,9,690
49,Java,0.160,9,9,709
50,Java,0.171,9,7,426
51,Java,0.175,9,8,560
52,Java,0.174,9,8,511
53,Java,0.192,9,8,504
54,Java,0.219,9,8,458
55,Java,0.145,9,7,519
56,Java,0.180,9,9,719
57,Java,0.196,9,8,534
58,Java,0.173,9,10,726
59,Java,0.193,9,9,666
60,Java,0.156,9,9,650
61,Java,0.156,9,7,309
62,Java,0.169,9,7,514
63,Java,0.151,9,8,454
64,Java,0.156,9,8,540
65,Java,0.156,9,8,559
66,Java,0.144,9,7,359
67,Java,0.193,9,8,564
68,Java,0.159,9,8,635
69,Java,0.223,9,8,596
70,Java,0.197,9,7,325
71,Java,0.171,9,8,612
72,Java,0.203,9,8,536
73,Java,0.175,9,10,703
74,Java,0.171,9,9,629
75,Java,0.158,9,8,539
76,Java,0.161,9,6,576
77,Java,0.157,9,9,675
78,Java,0.170,9,8,459
79,Java,0.175,9,8,496
80,Java,0.151,9,5,413
81,Java,0.154,9,9,575
82,Java,0.168,9,9,669
83,Java,0.155,9,8,492
84,Java,0.173,9,9,640
85,Java,0.153,9,9,636
86,Java,0.181,9,8,464
87,Java,0.168,9,7,326
88,Java,0.142,9,8,451
89,Java,0.151,9,8,652
90,Java,0.146,9,9,593
91,Java,0.149,9,7,198
92,Java,0.165,9,10,689
93,Java,0.255,9,11,567
94,Java,0.201,9,9,659
95,Java,0.163,9,9,491
96,Java,0.207,9,8,552
97,Java,0.182,9,9,610
98,Java,0.153,9,9,749
99,Java,0.236,9,8,525
100,Java,0.159,9,6,543
