Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
112,Java,0.173,1,11,20
113,Java,0.140,8,79,143
114,Java,0.205,6,66,120
115,Java,0.165,9,79,140
116,Java,0.221,4,26,44
117,Java,0.180,6,55,98
118,Java,0.184,5,54,98
119,Java,0.168,8,87,158
120,Java,0.140,4,26,44
121,Java,0.141,6,58,104
122,Java,0.134,5,56,102
123,Java,0.165,5,50,90
124,Java,0.138,6,65,118
125,Java,0.171,5,45,80
126,Java,0.178,6,73,134
127,Java,0.171,5,49,88
128,Java,0.167,5,67,124
129,Java,0.169,3,22,38
130,Java,0.187,5,67,124
131,Java,0.176,5,51,92
132,Java,0.182,6,59,106
133,Java,0.140,5,52,94
134,Java,0.165,6,61,110
135,Java,0.169,8,80,144
136,Java,0.167,7,66,118
137,Java,0.175,6,44,76
138,Java,0.136,7,53,92
139,Java,0.170,3,39,72
140,Java,0.179,5,64,118
141,Java,0.198,5,53,96
142,Java,0.168,6,45,78
143,Java,0.236,1,11,20
144,Java,0.211,6,82,152
145,Java,0.148,6,52,92
146,Java,0.131,6,66,120
147,Java,0.127,8,73,130
148,Java,0.167,7,60,106
149,Java,0.165,5,50,90
150,Java,0.163,4,50,92
151,Java,0.167,6,65,118
152,Java,0.206,4,64,120
153,Java,0.198,3,46,86
154,Java,0.180,6,67,122
155,Java,0.177,7,65,117
156,Java,0.239,6,68,124
157,Java,0.135,6,75,138
158,Java,0.130,2,37,70
159,Java,0.165,4,33,58
160,Java,0.178,6,58,104
161,Java,0.163,9,90,162
162,Java,0.175,7,70,126
163,Java,0.181,4,32,57
164,Java,0.167,9,89,160
165,Java,0.178,6,60,108
166,Java,0.166,4,37,66
167,Java,0.166,5,53,96
168,Java,0.181,7,76,138
169,Java,0.172,6,61,110
170,Java,0.131,4,44,80
171,Java,0.144,7,68,122
172,Java,0.170,8,92,168
173,Java,0.179,5,52,94
174,Java,0.188,8,72,128
175,Java,0.185,8,76,137
176,Java,0.172,4,41,74
177,Java,0.201,5,41,72
178,Java,0.177,6,67,122
179,Java,0.198,8,89,162
180,Java,0.137,8,77,138
181,Java,0.177,1,11,20
182,Java,0.186,7,79,144
183,Java,0.166,4,52,96
184,Java,0.173,4,65,122
185,Java,0.171,6,70,128
186,Java,0.164,4,26,44
187,Java,0.167,6,67,122
188,Java,0.171,6,61,110
189,Java,0.175,1,11,20
190,Java,0.162,4,36,64
191,Java,0.163,4,26,44
192,Java,0.155,5,64,118
193,Java,0.128,8,83,150
194,Java,0.165,5,33,57
195,Java,0.222,7,64,114
196,Java,0.186,7,64,115
197,Java,0.191,7,73,132
198,Java,0.212,6,50,89
199,Java,0.207,6,66,120
200,Java,0.326,8,75,134
