Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,0.295,9,13,6315
2,Java,0.240,9,13,6628
3,Java,0.214,9,12,6411
4,Java,0.202,9,14,7430
5,Java,0.267,9,12,6174
6,Java,0.188,9,13,6742
7,Java,0.199,9,13,6686
8,Java,0.196,9,11,5274
9,Java,0.207,9,12,6653
10,Java,0.200,9,11,5222
11,Java,0.216,9,12,6117
12,Java,0.205,9,12,6617
13,Java,0.236,9,12,5534
14,Java,0.229,9,13,7155
15,Java,0.241,9,12,6314
16,Java,0.217,9,13,7557
17,Java,0.186,9,12,6112
18,Java,0.189,9,12,6229
19,Java,0.218,9,13,7177
20,Java,0.202,9,13,6565
21,Java,0.186,9,12,6680
22,Java,0.185,9,12,4675
23,Java,0.213,9,13,7468
24,Java,0.201,9,12,6538
25,Java,0.221,9,13,6677
26,Java,0.191,9,12,5837
27,Java,0.198,9,12,5152
28,Java,0.198,9,10,6170
29,Java,0.238,9,12,6332
30,Java,0.263,9,12,6098
31,Java,0.198,9,11,4866
32,Java,0.245,9,11,5311
33,Java,0.235,9,11,5249
34,Java,0.319,9,10,2874
35,Java,0.229,9,11,5299
36,Java,0.264,9,11,3685
37,Java,0.266,9,12,5267
38,Java,0.238,9,12,6415
39,Java,0.265,9,12,6200
40,Java,0.260,9,12,6090
41,Java,0.189,9,11,4230
42,Java,0.187,9,12,4617
43,Java,0.250,9,13,6294
44,Java,0.196,9,12,5668
45,Java,0.221,9,11,5191
46,Java,0.202,9,13,5760
47,Java,0.201,9,11,4966
48,Java,0.309,9,11,4979
49,Java,0.212,9,12,6144
50,Java,0.179,9,12,6261
51,Java,0.192,9,12,4574
52,Java,0.288,9,12,6568
53,Java,0.208,9,12,5555
54,Java,0.189,9,9,5711
55,Java,0.198,9,13,7196
56,Java,0.207,9,8,2912
57,Java,0.200,9,12,6149
58,Java,0.188,9,9,5691
59,Java,0.191,9,12,5728
60,Java,0.172,9,13,6661
61,Java,0.193,9,12,5582
62,Java,0.187,9,13,6767
63,Java,0.206,9,12,5557
64,Java,0.183,9,11,5232
65,Java,0.198,9,9,5347
66,Java,0.184,9,11,4969
67,Java,0.259,9,11,5403
68,Java,0.194,9,14,7314
69,Java,0.384,9,12,6556
70,Java,0.191,9,12,6101
71,Java,0.184,9,12,5802
72,Java,0.204,9,12,6653
73,Java,0.191,9,12,5578
74,Java,0.227,9,12,5660
75,Java,0.200,9,12,6404
76,Java,0.202,9,13,7309
77,Java,0.183,9,12,6141
78,Java,0.189,9,11,3373
79,Java,0.220,9,12,6127
80,Java,0.190,9,13,6724
81,Java,0.204,9,13,6713
82,Java,0.176,9,14,6816
83,Java,0.184,9,12,6630
84,Java,0.222,9,12,6275
85,Java,0.300,9,12,5219
86,Java,0.243,9,12,5565
87,Java,0.223,9,14,7744
88,Java,0.230,9,13,6915
89,Java,0.211,9,12,6440
90,Java,0.192,9,13,6632
91,Java,0.209,9,12,4700
92,Java,0.194,9,11,3691
93,Java,0.179,9,12,6337
94,Java,0.224,9,12,6233
95,Java,0.185,9,11,4877
96,Java,0.267,9,12,5560
97,Java,0.290,9,12,6446
98,Java,0.316,9,12,5551
99,Java,0.184,9,12,6638
100,Java,0.182,9,12,5711
