Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,0.332,9,1822,3626
2,Java,0.233,13,6820,13614
3,Java,0.217,11,4312,8602
4,Java,0.257,10,2890,5760
5,Java,0.367,13,6577,13128
6,Java,0.22,11,3789,7556
7,Java,0.266,9,1860,3702
8,Java,0.263,12,5725,11426
9,Java,0.25,10,6087,12154
10,Java,0.226,12,5459,10894
11,Java,0.25,12,6014,12004
12,Java,0.246,9,1864,3710
13,Java,0.27,12,4793,9562
14,Java,0.238,11,4265,8508
15,Java,0.304,11,4154,8286
16,Java,0.254,11,3419,6816
17,Java,0.231,12,5526,11028
18,Java,0.258,11,4358,8694
19,Java,0.335,12,5679,11334
20,Java,0.223,11,3955,7888
21,Java,0.238,12,5725,11426
22,Java,0.222,12,5387,10750
23,Java,0.253,9,5697,11376
24,Java,0.284,11,3599,7176
25,Java,0.252,10,2915,5810
26,Java,0.229,12,5835,11646
27,Java,0.224,12,5559,11094
28,Java,0.222,12,5718,11412
29,Java,0.239,13,5739,11452
30,Java,0.265,14,7386,14744
31,Java,0.252,10,4171,8322
32,Java,0.286,12,6756,13488
33,Java,0.229,13,6140,12254
34,Java,0.227,11,4287,8552
35,Java,0.323,13,6372,12718
36,Java,0.323,12,6305,12586
37,Java,0.533,12,4149,8274
38,Java,0.475,8,3032,6048
39,Java,0.449,12,5847,11670
40,Java,0.363,12,6411,12798
41,Java,0.374,11,3762,7502
42,Java,0.233,12,5120,10216
43,Java,0.255,10,3982,7944
44,Java,0.379,9,1808,3598
45,Java,0.243,13,6394,12762
46,Java,0.253,14,7350,14672
47,Java,0.601,13,6760,13494
48,Java,0.449,9,3877,7736
49,Java,0.309,11,3647,7272
50,Java,0.251,12,4562,9100
51,Java,0.239,14,7657,15286
52,Java,0.268,13,6630,13234
53,Java,0.296,10,2846,5672
54,Java,0.247,12,5718,11412
55,Java,0.24,8,3000,5984
56,Java,0.404,8,2973,5930
57,Java,0.229,12,3576,7128
58,Java,0.22,11,3724,7426
59,Java,0.208,13,5689,11352
60,Java,0.224,14,6334,12640
61,Java,0.266,9,1838,3658
62,Java,0.316,10,2832,5644
63,Java,0.231,11,7243,14464
64,Java,0.236,12,5349,10674
65,Java,0.205,14,7923,15818
66,Java,0.206,12,5311,10598
67,Java,0.254,11,5982,11942
68,Java,0.225,12,6655,13286
69,Java,0.228,13,6699,13372
