Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
70,Java,0.249,11,3656,7290
71,Java,0.223,10,4382,8744
72,Java,0.231,13,5347,10668
73,Java,0.224,13,6653,13280
74,Java,0.237,10,1697,3374
75,Java,0.227,12,4179,8334
76,Java,0.223,11,3638,7254
77,Java,0.231,11,3619,7216
78,Java,0.226,12,6510,12996
79,Java,0.225,16,7744,15456
80,Java,0.243,11,4409,8796
81,Java,0.276,9,1808,3598
82,Java,0.229,9,1902,3786
83,Java,0.226,13,5729,11432
84,Java,0.219,10,1726,3432
85,Java,0.237,13,4794,9562
86,Java,0.233,11,4848,9674
87,Java,0.22,10,1781,3542
88,Java,0.238,14,7300,14572
89,Java,0.28,10,1785,3550
90,Java,0.271,12,6671,13318
91,Java,0.272,9,1808,3598
92,Java,0.224,8,2957,5898
93,Java,0.254,11,4389,8756
94,Java,0.244,11,3737,7452
95,Java,0.223,11,4419,8816
96,Java,0.231,13,7149,14272
97,Java,0.29,11,4503,8984
98,Java,0.221,9,1864,3710
99,Java,0.227,11,4312,8602
100,Java,0.236,12,5141,10258
101,Java,0.241,11,4304,8586
102,Java,0.319,13,5846,11666
103,Java,0.282,11,4125,8228
104,Java,0.275,12,3569,7114
105,Java,0.253,11,3366,6710
106,Java,0.313,13,7344,14662
107,Java,0.285,13,5985,11944
108,Java,0.239,9,1851,3684
109,Java,0.228,11,3309,6596
110,Java,0.245,11,3748,7474
111,Java,0.213,11,3654,7286
112,Java,0.212,9,1863,3708
113,Java,0.234,13,5905,11784
114,Java,0.24,13,4320,8614
115,Java,0.317,14,6917,13806
116,Java,0.272,13,6605,13184
117,Java,0.309,12,5764,11504
118,Java,0.272,10,1757,3494
119,Java,0.227,11,3903,7784
120,Java,0.219,10,2896,5772
121,Java,0.228,14,6854,13680
122,Java,0.22,12,5631,11238
123,Java,0.231,12,5350,10676
124,Java,0.239,13,6208,12390
125,Java,0.278,13,6539,13052
126,Java,0.237,11,4367,8712
127,Java,0.25,9,1863,3708
128,Java,0.252,13,6932,13838
129,Java,0.245,13,6635,13244
130,Java,0.261,12,5427,10830
131,Java,0.267,11,4471,8920
132,Java,0.253,11,4313,8604
133,Java,0.224,13,5823,11620
134,Java,0.222,11,3965,7908
135,Java,0.207,12,4598,9172
136,Java,0.207,14,6690,13352
137,Java,0.206,12,5394,10764
138,Java,0.218,13,5817,11608
139,Java,0.204,15,7116,14202
140,Java,0.224,15,7932,15834
141,Java,0.224,12,5222,10420
142,Java,0.335,12,5753,11482
143,Java,0.223,11,4987,9952
144,Java,0.21,12,3386,6748
145,Java,0.248,13,6990,13954
146,Java,0.331,12,5649,11274
147,Java,0.275,11,3974,7926
148,Java,0.354,12,5684,11344
149,Java,0.515,11,4385,8748
150,Java,0.346,11,5242,10462
151,Java,0.424,11,4462,8902
152,Java,0.253,13,6956,13886
153,Java,0.34,12,6070,12116
154,Java,0.3,12,4856,9688
155,Java,0.23,11,4343,8664
156,Java,0.24,11,6951,13880
157,Java,0.205,13,7051,14076
158,Java,0.228,12,4174,8324
159,Java,0.229,11,3411,6800
160,Java,0.222,12,6452,12880
161,Java,0.227,10,2871,5722
162,Java,0.202,9,4107,8196
163,Java,0.206,13,7132,14238
164,Java,0.2,12,4277,8530
165,Java,0.217,10,3412,6804
166,Java,0.197,13,6752,13478
167,Java,0.21,12,4535,9046
168,Java,0.21,9,4079,8140
169,Java,0.231,15,7741,15452
170,Java,0.203,10,1757,3494
171,Java,0.224,11,4254,8486
172,Java,0.21,11,3901,7780
173,Java,0.213,9,1885,3752
174,Java,0.274,12,4617,9210
175,Java,0.255,11,3605,7188
176,Java,0.271,11,3759,7496
177,Java,0.209,12,5576,11128
178,Java,0.209,12,6148,12272
179,Java,0.214,12,6384,12744
180,Java,0.221,11,5178,10334
181,Java,0.23,11,4281,8540
182,Java,0.251,12,4995,9966
183,Java,0.238,11,4432,8842
184,Java,0.279,13,7384,14742
185,Java,0.224,10,6200,12380
186,Java,0.502,12,5632,11240
187,Java,0.26,12,4657,9290
188,Java,0.482,12,5303,10582
189,Java,0.273,11,4431,8840
190,Java,0.279,12,6386,12748
191,Java,0.198,14,7518,15008
192,Java,0.368,12,4820,9616
193,Java,0.239,10,2771,5522
194,Java,0.227,12,6151,12278
195,Java,0.204,12,5539,11054
196,Java,0.202,10,2900,5780
197,Java,0.2,13,6936,13846
198,Java,0.22,13,6195,12364
199,Java,0.212,8,3032,6048
200,Java,0.2,11,4457,8892
,,0.25949,11.525,4865.2,9707.35
