Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
122,Java,1.906,17,292854,585674
123,Java,1.133,17,489770,979506
124,Java,2.149,15,393193,786356
125,Java,0.981,17,429307,858580
126,Java,2.172,21,775739,1551436
127,Java,0.980,15,271509,542988
128,Java,0.935,21,786071,1572100
129,Java,1.870,18,576344,1152652
130,Java,1.972,17,428979,857924
131,Java,1.249,17,182218,364402
132,Java,1.996,21,767668,1535294
133,Java,0.959,18,612157,1224278
134,Java,0.861,17,180823,361612
135,Java,0.836,20,593197,1186354
136,Java,0.892,18,271609,543182
137,Java,0.834,18,554706,1109376
138,Java,1.884,18,380214,760392
139,Java,0.852,19,691939,1383840
140,Java,0.884,19,588918,1177798
141,Java,0.972,18,330664,661292
142,Java,0.962,22,705995,1411946
143,Java,2.106,21,620599,1241156
144,Java,1.011,19,666538,1333038
145,Java,0.855,17,182197,364360
146,Java,0.867,17,364141,728248
147,Java,0.949,19,679642,1359246
148,Java,0.922,18,557658,1115280
149,Java,0.968,20,496240,992440
150,Java,2.069,17,182320,364606
151,Java,0.896,19,342770,685502
152,Java,2.048,17,430240,860446
153,Java,1.013,18,448032,896028
154,Java,0.929,19,533069,1066100
155,Java,1.060,17,436421,872808
156,Java,3.027,20,524561,1049082
157,Java,1.841,17,292503,584972
158,Java,1.178,19,533065,1066092
159,Java,1.022,20,646842,1293644
160,Java,1.007,18,576507,1152978
161,Java,1.606,20,771189,1542338
162,Java,1.172,21,766515,1532988
163,Java,1.900,19,632255,1264472
164,Java,1.904,19,673820,1347602
165,Java,1.767,17,490638,981242
166,Java,1.119,18,552309,1104582
167,Java,1.121,15,437403,874776
168,Java,1.048,18,526401,1052766
169,Java,1.992,18,558400,1116764
170,Java,1.020,18,623122,1246208
171,Java,0.934,18,525450,1050864
172,Java,0.909,20,779395,1558750
173,Java,2.027,22,808181,1616318
174,Java,0.952,18,464140,928244
175,Java,1.681,19,517508,1034978
176,Java,2.279,22,749568,1499092
177,Java,2.039,17,429591,859148
178,Java,2.125,15,436770,873510
179,Java,1.951,19,516623,1033208
180,Java,2.282,17,411886,823738
181,Java,2.653,17,490741,981448
182,Java,1.892,18,330803,661570
183,Java,0.985,19,657989,1315940
184,Java,1.319,20,470385,940730
185,Java,2.348,18,510847,1021658
186,Java,1.144,15,342462,684894
187,Java,2.136,15,270691,541352
188,Java,2.450,18,545033,1090030
189,Java,1.900,20,672519,1344998
190,Java,1.766,18,526802,1053568
191,Java,2.299,21,562296,1124550
192,Java,1.852,20,596352,1192664
193,Java,2.144,18,331562,663088
194,Java,2.063,21,648925,1297808
195,Java,1.986,16,533179,1066326
196,Java,1.027,17,292453,584872
197,Java,2.276,19,732177,1464316
198,Java,0.898,18,464104,928172
199,Java,1.645,19,556229,1112420
200,Java,1.433,18,331277,662518
