Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,1.237,20,629980,1259920
2,Java,0.939,18,537145,1074254
3,Java,0.855,20,593781,1187522
4,Java,2.056,15,441513,882996
5,Java,1.934,17,436091,872148
6,Java,1.724,18,411547,823058
7,Java,1.335,18,446723,893410
8,Java,1.018,20,714962,1429884
9,Java,0.973,20,635961,1271882
10,Java,1.114,17,411673,823312
11,Java,1.992,19,615634,1231230
12,Java,2.427,17,411161,822288
13,Java,0.897,16,360287,720542
14,Java,0.884,17,293691,587348
15,Java,0.925,15,441609,883188
16,Java,1.978,15,441625,883220
17,Java,1.036,20,685775,1371510
18,Java,0.842,17,292108,584182
19,Java,0.912,18,506362,1012688
20,Java,0.859,18,637361,1274686
21,Java,0.876,17,182095,364156
22,Java,0.949,17,292998,585962
23,Java,1.047,19,594424,1188810
24,Java,1.026,17,430466,860898
25,Java,0.956,18,668805,1337574
26,Java,1.986,17,411531,823028
27,Java,2.125,19,721942,1443846
28,Java,1.972,17,181939,363844
29,Java,1.057,21,545738,1091434
30,Java,2.153,18,464039,928042
31,Java,1.149,17,411938,823842
32,Java,1.891,16,551195,1102358
33,Java,0.939,21,652681,1305320
34,Java,0.897,21,804694,1609346
35,Java,1.013,18,526283,1052530
36,Java,1.001,20,795629,1591218
37,Java,2.159,17,490094,980154
38,Java,1.005,18,481600,963164
39,Java,1.037,18,525803,1051570
40,Java,0.925,17,364382,728730
41,Java,0.944,18,525952,1051868
42,Java,1.076,17,411775,823516
43,Java,0.946,19,554812,1109586
44,Java,0.903,19,342849,685660
45,Java,0.995,17,181761,363488
46,Java,1.167,19,535406,1070774
47,Java,0.875,15,436516,873002
48,Java,0.982,18,525477,1050918
49,Java,1.666,17,182421,364808
50,Java,1.043,20,692444,1384848
51,Java,0.935,19,567340,1134642
52,Java,1.300,19,654614,1309190
53,Java,1.167,17,181683,363332
54,Java,1.003,20,544336,1088632
55,Java,1.083,19,657867,1315696
56,Java,2.021,17,181452,362870
57,Java,1.936,17,412186,824338
58,Java,1.044,17,429775,859516
59,Java,0.956,17,429360,858686
60,Java,0.958,19,517050,1034062
61,Java,0.955,18,330985,661934
62,Java,1.729,18,576974,1153912
63,Java,1.243,21,763812,1527582
64,Java,1.938,18,574270,1148504
65,Java,1.145,18,576742,1153448
66,Java,1.962,15,393385,786740
67,Java,1.912,17,181852,363670
68,Java,1.694,18,459674,919312
69,Java,1.104,17,490576,981118
70,Java,1.093,18,411672,823308
71,Java,1.035,18,553049,1106062
72,Java,0.918,18,524892,1049748
73,Java,0.995,17,181882,363730
74,Java,0.890,17,364375,728716
75,Java,0.929,20,593109,1186178
76,Java,1.074,21,674757,1349472
77,Java,0.919,18,330586,661136
78,Java,1.078,17,364607,729180
79,Java,0.910,18,576714,1153392
80,Java,0.938,18,462749,925462
81,Java,1.041,17,363893,727752
82,Java,0.988,17,181633,363232
83,Java,1.008,17,181819,363604
84,Java,1.036,17,181659,363284
85,Java,0.933,18,531160,1062284
86,Java,0.911,21,724373,1448704
87,Java,0.877,17,412132,824230
88,Java,0.979,19,655302,1310566
89,Java,1.000,19,568266,1136494
90,Java,1.981,17,410586,821138
91,Java,2.392,18,412263,824490
92,Java,2.209,15,441963,883896
93,Java,2.127,19,343131,686224
94,Java,1.521,20,672725,1345410
95,Java,1.754,18,271646,543256
96,Java,0.948,17,291531,583028
97,Java,0.964,19,568786,1137534
98,Java,1.800,17,411584,823134
99,Java,2.200,17,182129,364224
100,Java,1.259,20,659426,1318812
101,Java,0.975,18,623712,1247388
102,Java,1.952,17,491583,983132
103,Java,1.912,17,363951,727868
104,Java,1.880,17,292188,584342
105,Java,1.958,15,341721,683412
106,Java,1.949,17,429232,858430
107,Java,2.030,17,181659,363284
108,Java,1.759,19,600767,1201496
109,Java,1.041,18,592416,1184796
110,Java,1.167,19,624910,1249782
111,Java,1.178,17,291782,583530
112,Java,2.078,17,427794,855554
113,Java,1.541,17,292605,585176
114,Java,1.005,17,182163,364292
115,Java,0.952,16,551354,1102676
116,Java,0.895,17,490959,981884
117,Java,1.058,17,429793,859552
118,Java,1.907,18,638634,1277232
119,Java,1.681,16,480678,961324
120,Java,0.893,20,807038,1614036
121,Java,2.417,18,654997,1309958
