Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
77,Java,0.328,15,55065,110100
78,Java,0.355,16,59610,119188
79,Java,0.344,15,50608,101186
80,Java,0.331,15,52573,105116
81,Java,0.307,16,63585,127138
82,Java,0.388,14,29108,58188
83,Java,0.312,15,44834,89638
84,Java,0.317,12,33305,66586
85,Java,0.346,12,33283,66542
86,Java,0.342,18,74413,148790
87,Java,0.377,16,59786,119540
88,Java,0.299,14,43747,87466
89,Java,0.381,14,29182,58336
90,Java,0.651,17,65608,131182
91,Java,0.378,13,41673,83320
92,Java,0.429,14,29205,58382
93,Java,0.366,15,33676,67322
94,Java,0.32,14,29268,58508
95,Java,0.311,14,43686,87344
96,Java,0.36,18,74576,149116
97,Java,0.346,13,18191,36356
98,Java,0.328,13,51875,103724
99,Java,0.334,13,34495,68964
100,Java,0.317,12,33172,66320
101,Java,0.443,14,43062,86096
102,Java,0.4,14,45975,91922
103,Java,0.317,15,34290,68550
104,Java,0.276,14,50952,101876
105,Java,0.33,16,63706,127380
106,Java,0.381,15,49747,99464
107,Java,0.385,15,52559,105088
108,Java,0.446,14,39323,78618
109,Java,0.324,15,33470,66910
110,Java,0.36,14,53287,106546
111,Java,0.303,14,69230,138432
112,Java,0.291,15,74822,149614
113,Java,0.352,16,69145,138258
114,Java,0.302,13,18048,36070
115,Java,0.369,14,39218,78408
116,Java,0.374,16,61622,123212
117,Java,0.445,15,53739,107448
118,Java,0.325,13,18285,36544
119,Java,0.378,15,52503,104976
120,Java,0.464,15,55355,110680
121,Java,0.378,14,29278,58528
122,Java,0.569,17,61294,122554
123,Java,0.343,13,18216,36406
124,Java,0.442,15,48393,96756
125,Java,0.615,14,42955,85882
126,Java,0.542,14,29216,58404
127,Java,0.351,13,18023,36020
128,Java,0.581,14,26772,53516
129,Java,0.377,17,49785,99536
130,Java,0.314,14,29277,58526
131,Java,0.313,14,67846,135664
132,Java,0.334,18,74096,148156
133,Java,0.278,13,17995,35964
134,Java,0.361,13,55523,111020
135,Java,0.361,15,42961,85892
136,Java,0.287,15,53467,106904
137,Java,0.305,15,60808,121586
138,Java,0.305,17,66882,133730
139,Java,0.329,16,51470,102908
140,Java,0.393,16,63613,127194
141,Java,0.295,16,64110,128188
142,Java,0.353,14,67311,134594
143,Java,0.319,15,57759,115488
144,Java,0.327,16,76142,152252
145,Java,0.341,16,51262,102492
146,Java,0.339,14,44259,88490
147,Java,0.28,16,51604,103176
148,Java,0.349,17,66275,132516
149,Java,0.34,15,50171,100312
150,Java,0.401,13,18240,36454
151,Java,0.412,18,76440,152844
152,Java,0.394,15,52650,105270
153,Java,0.329,14,27217,54406
154,Java,0.288,13,18042,36058
155,Java,0.337,14,39335,78642
156,Java,0.547,16,57316,114600
157,Java,0.299,17,68691,137348
158,Java,0.497,16,66517,133002
159,Java,0.341,13,18168,36310
160,Java,0.298,15,50318,100606
161,Java,0.335,16,61837,123642
162,Java,0.307,15,54515,109000
163,Java,0.335,13,55323,110620
164,Java,0.342,14,65663,131298
165,Java,0.351,14,28974,57920
166,Java,0.357,16,56964,113896
167,Java,0.379,15,43028,86026
168,Java,0.349,14,43809,87590
169,Java,0.335,15,43091,86152
170,Java,0.427,16,58046,116060
171,Java,0.352,14,29445,58862
172,Java,0.465,16,65293,130554
173,Java,0.482,12,32851,65678
174,Java,0.339,16,57875,115718
175,Java,0.37,14,43821,87614
176,Java,0.377,16,66952,133872
177,Java,0.368,14,29349,58670
178,Java,0.366,16,57333,114634
179,Java,0.371,14,29292,58556
180,Java,0.392,14,43058,86088
181,Java,0.438,16,63249,126466
182,Java,0.391,15,67261,134492
183,Java,0.434,14,29301,58574
184,Java,0.396,16,67045,134058
185,Java,0.512,12,33210,66396
186,Java,0.343,16,66633,133234
187,Java,0.337,13,36403,72780
188,Java,0.333,14,43800,87572
189,Java,0.33,13,18329,36632
190,Java,0.29,15,53772,107514
191,Java,0.323,13,36088,72150
192,Java,0.302,13,34381,68736
193,Java,0.346,14,42504,84980
194,Java,0.329,13,52235,104444
195,Java,0.462,15,49882,99734
196,Java,0.429,13,18141,36256
197,Java,0.518,14,41171,82314
198,Java,0.536,14,41044,82060
199,Java,0.509,16,70523,141014
200,Java,0.441,13,48396,96766
,,0.36773,14.665,47364.455,94699.58
