Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,0.409,12,33522,67020
2,Java,0.292,14,41343,82658
3,Java,0.298,15,48980,97930
4,Java,0.384,17,60665,121296
5,Java,0.251,16,46594,93156
6,Java,0.251,17,70660,141286
7,Java,0.254,16,63998,127964
8,Java,0.242,13,18262,36498
9,Java,0.256,12,32921,65818
10,Java,0.312,15,54921,109812
11,Java,0.296,16,67530,135028
12,Java,0.257,16,66005,131978
13,Java,0.351,15,57440,114850
14,Java,0.277,15,53604,107178
15,Java,0.453,17,67956,135878
16,Java,0.396,13,53452,106878
17,Java,0.504,18,64488,128940
18,Java,0.616,14,43486,86944
19,Java,0.425,17,72432,144830
20,Java,0.412,12,33162,66300
21,Java,0.324,14,53722,107416
22,Java,0.356,16,68225,136418
23,Java,0.349,14,43687,87346
24,Java,0.367,16,52836,105640
25,Java,0.373,14,63647,127266
26,Java,0.343,13,18270,36514
27,Java,0.338,15,50150,100270
28,Java,0.331,13,18374,36722
29,Java,0.446,15,48214,96398
30,Java,0.38,14,42652,85276
31,Java,0.437,14,43339,86650
32,Java,0.304,12,33109,66194
33,Java,0.323,16,63769,127506
34,Java,0.335,17,70669,141304
35,Java,0.329,18,74960,149884
36,Java,0.321,13,17804,35582
37,Java,0.469,16,57022,114012
38,Java,0.388,15,42835,85640
39,Java,0.322,15,59202,118374
40,Java,0.319,13,48184,96342
41,Java,0.81,18,74062,148088
42,Java,0.806,14,29343,58658
43,Java,0.404,16,57613,115194
44,Java,0.539,14,29236,58444
45,Java,0.408,13,18103,36180
46,Java,0.339,15,57860,115690
47,Java,0.392,15,54822,109614
48,Java,0.289,15,54904,109778
49,Java,0.308,14,29126,58224
50,Java,0.316,14,27493,54958
51,Java,0.349,16,61602,123172
52,Java,0.28,14,55517,111006
53,Java,0.315,14,53786,107544
54,Java,0.332,17,64124,128214
55,Java,0.377,13,36202,72378
56,Java,0.313,15,41322,82614
57,Java,0.324,18,76965,153894
58,Java,0.374,16,73205,146378
59,Java,0.383,16,49296,98560
60,Java,0.309,16,52750,105468
61,Java,0.4,13,36492,72958
62,Java,0.352,13,56071,112116
63,Java,0.323,13,18090,36154
64,Java,0.286,13,18166,36306
65,Java,0.309,15,33404,66778
66,Java,0.339,15,49919,99808
67,Java,0.348,17,74435,148836
68,Java,0.363,12,33150,66276
69,Java,0.357,16,45372,90712
70,Java,0.33,13,36614,73202
71,Java,0.336,14,26812,53596
72,Java,0.377,12,32897,65770
73,Java,0.339,14,29422,58816
74,Java,0.316,14,42480,84932
75,Java,0.322,13,18250,36474
76,Java,0.298,14,29449,58870
