Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,0.251,8,6,62
2,Java,0.144,9,7,80
3,Java,0.142,9,6,47
4,Java,0.15,8,5,30
5,Java,0.14,9,5,63
6,Java,0.142,9,6,64
7,Java,0.148,8,6,56
8,Java,0.151,8,6,55
9,Java,0.137,9,7,73
10,Java,0.15,8,7,69
11,Java,0.146,9,3,59
12,Java,0.146,9,7,66
13,Java,0.153,9,5,66
14,Java,0.167,8,6,75
15,Java,0.134,9,4,32
16,Java,0.148,9,7,63
17,Java,0.141,8,8,80
18,Java,0.154,9,2,35
19,Java,0.146,9,6,64
20,Java,0.157,8,6,37
21,Java,0.147,8,4,50
22,Java,0.144,9,7,77
23,Java,0.138,8,8,85
24,Java,0.148,8,6,79
25,Java,0.139,9,7,79
26,Java,0.151,8,5,47
27,Java,0.134,9,5,62
28,Java,0.149,8,7,64
29,Java,0.139,9,7,76
30,Java,0.145,9,6,63
31,Java,0.141,9,5,53
32,Java,0.132,9,5,69
33,Java,0.147,8,8,86
34,Java,0.134,7,7,77
35,Java,0.145,8,6,64
36,Java,0.138,9,6,68
37,Java,0.145,9,5,61
38,Java,0.144,9,5,50
39,Java,0.145,9,8,75
40,Java,0.146,8,4,66
41,Java,0.146,8,4,51
42,Java,0.135,9,6,72
43,Java,0.145,9,7,78
44,Java,0.141,8,5,53
45,Java,0.142,9,5,50
46,Java,0.133,9,5,64
47,Java,0.151,8,6,65
48,Java,0.137,8,7,59
49,Java,0.145,8,4,50
50,Java,0.143,9,4,36
51,Java,0.176,9,5,55
52,Java,0.166,9,5,56
53,Java,0.184,9,5,52
54,Java,0.143,9,7,67
55,Java,0.156,8,4,35
56,Java,0.149,9,7,67
57,Java,0.138,9,7,69
58,Java,0.137,8,7,78
59,Java,0.144,9,6,56
60,Java,0.15,9,6,70
61,Java,0.15,9,4,59
62,Java,0.146,9,6,72
63,Java,0.132,9,6,49
64,Java,0.14,8,5,38
65,Java,0.14,8,4,32
66,Java,0.134,8,7,67
67,Java,0.139,8,6,57
68,Java,0.138,8,7,77
69,Java,0.146,9,7,78
70,Java,0.144,8,6,79
71,Java,0.145,9,6,77
72,Java,0.152,8,7,63
73,Java,0.155,8,7,72
74,Java,0.165,9,5,62
75,Java,0.145,8,6,66
76,Java,0.149,8,9,92
77,Java,0.135,9,5,60
78,Java,0.148,9,4,57
79,Java,0.14,9,6,75
80,Java,0.145,8,3,52
81,Java,0.152,8,5,55
82,Java,0.148,9,6,51
83,Java,0.153,9,6,59
84,Java,0.139,8,7,67
85,Java,0.163,8,7,63
86,Java,0.146,9,8,79
87,Java,0.142,9,3,58
88,Java,0.149,8,6,58
89,Java,0.143,9,2,31
90,Java,0.149,8,8,69
91,Java,0.149,8,6,65
92,Java,0.147,9,5,41
93,Java,0.15,9,7,72
94,Java,0.164,9,5,49
95,Java,0.147,8,4,55
96,Java,0.15,8,9,79
97,Java,0.153,8,5,54
98,Java,0.171,8,7,84
99,Java,0.146,8,6,60
100,Java,0.141,8,4,45
101,Java,0.148,9,4,41
102,Java,0.14,8,7,67
103,Java,0.142,8,7,67
104,Java,0.141,9,6,72
105,Java,0.147,8,7,80
106,Java,0.141,9,7,82
107,Java,0.146,9,6,67
108,Java,0.137,9,5,61
109,Java,0.139,8,7,55
110,Java,0.145,9,5,64
111,Java,0.13,9,3,51
112,Java,0.146,9,4,57
113,Java,0.14,8,2,36
114,Java,0.151,9,2,38
115,Java,0.138,9,6,67
116,Java,0.147,8,6,46
117,Java,0.152,8,7,67
118,Java,0.147,8,7,75
119,Java,0.15,9,6,63
120,Java,0.134,8,7,72
121,Java,0.144,8,7,68
122,Java,0.159,9,5,71
123,Java,0.155,8,5,63
124,Java,0.159,9,7,73
125,Java,0.159,8,7,68
126,Java,0.155,8,6,64
127,Java,0.152,8,5,32
128,Java,0.176,8,5,63
129,Java,0.173,9,6,68
130,Java,0.148,8,5,63
131,Java,0.15,8,6,57
132,Java,0.171,9,4,49
133,Java,0.153,9,5,67
134,Java,0.166,9,6,67
135,Java,0.144,8,8,80
136,Java,0.132,9,5,62
137,Java,0.168,9,7,62
138,Java,0.152,8,4,53
139,Java,0.149,8,5,59
140,Java,0.15,9,4,46
141,Java,0.13,9,2,37
142,Java,0.135,9,6,65
143,Java,0.129,9,2,30
144,Java,0.139,8,7,66
145,Java,0.15,9,6,60
146,Java,0.153,8,6,66
147,Java,0.137,9,8,84
148,Java,0.151,8,6,53
149,Java,0.147,8,5,80
150,Java,0.142,8,7,76
151,Java,0.155,9,6,70
152,Java,0.163,8,6,72
153,Java,0.147,8,6,66
154,Java,0.169,8,5,59
155,Java,0.139,9,6,67
156,Java,0.164,9,5,57
157,Java,0.147,8,6,64
158,Java,0.138,8,6,57
159,Java,0.151,8,2,29
160,Java,0.131,8,5,62
161,Java,0.143,9,6,65
162,Java,0.136,9,7,83
163,Java,0.154,9,6,66
164,Java,0.137,9,6,66
165,Java,0.221,9,4,54
166,Java,0.198,8,6,61
167,Java,0.134,8,5,37
168,Java,0.149,8,6,64
169,Java,0.14,9,7,62
170,Java,0.148,9,8,85
171,Java,0.15,8,6,63
172,Java,0.155,8,6,79
173,Java,0.137,9,3,52
174,Java,0.161,8,6,69
175,Java,0.141,9,5,71
176,Java,0.144,8,7,72
177,Java,0.171,9,6,67
178,Java,0.151,8,6,57
179,Java,0.165,9,6,66
180,Java,0.211,9,6,73
181,Java,0.163,9,6,59
182,Java,0.144,8,3,56
183,Java,0.146,9,5,59
184,Java,0.136,9,5,59
185,Java,0.174,8,6,67
186,Java,0.181,9,8,86
187,Java,0.142,8,7,61
188,Java,0.15,8,5,66
189,Java,0.174,8,5,45
190,Java,0.137,8,4,42
191,Java,0.171,8,7,68
192,Java,0.161,9,4,64
193,Java,0.161,9,4,53
194,Java,0.133,7,6,32
195,Java,0.183,8,8,75
196,Java,0.197,8,5,67
197,Java,0.143,9,6,51
198,Java,0.152,8,6,60
199,Java,0.142,9,6,68
200,Java,0.143,8,6,54
,,0.149605,8.495,5.705,61.875
