Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,0.484,9,16,65423
2,Java,0.281,9,16,63809
3,Java,0.284,9,16,55395
4,Java,0.298,9,15,55032
5,Java,0.272,9,16,61225
6,Java,0.313,9,16,61263
7,Java,0.309,9,16,81461
8,Java,0.287,9,15,53348
9,Java,0.324,9,16,64171
10,Java,0.353,9,15,48978
11,Java,0.301,9,13,53256
12,Java,0.347,9,15,43108
13,Java,0.313,9,13,36618
14,Java,0.328,9,13,36441
15,Java,0.288,9,13,36382
16,Java,0.280,9,15,68504
17,Java,0.283,9,15,52191
18,Java,0.279,9,13,45045
19,Java,0.274,9,17,66977
20,Java,0.279,9,14,57498
21,Java,0.387,9,16,65616
22,Java,0.307,9,14,42612
23,Java,0.314,9,16,53198
24,Java,0.296,9,15,52551
25,Java,0.343,9,16,63811
26,Java,0.290,9,13,56762
27,Java,0.397,9,16,61485
28,Java,0.334,9,16,55904
29,Java,0.313,9,16,63733
30,Java,0.313,9,15,53064
31,Java,0.307,9,13,57065
32,Java,0.328,9,14,57973
33,Java,0.322,9,14,57848
34,Java,0.368,9,16,57318
35,Java,0.366,9,14,44022
36,Java,0.309,9,15,53559
37,Java,0.517,9,13,36525
38,Java,0.344,9,15,52438
39,Java,0.311,9,14,42712
40,Java,0.363,9,15,52524
41,Java,0.338,9,16,63876
42,Java,0.325,9,15,55318
43,Java,0.415,9,16,61299
44,Java,0.444,9,13,55552
45,Java,0.446,9,16,61366
46,Java,0.317,9,14,41071
47,Java,0.339,9,14,63270
48,Java,0.367,9,13,56703
49,Java,0.293,9,16,46372
50,Java,0.332,9,14,57833
51,Java,0.367,9,15,50076
52,Java,0.314,9,16,63784
53,Java,0.400,9,14,65794
54,Java,0.296,9,16,65222
55,Java,0.354,9,16,63601
56,Java,0.428,9,15,49696
57,Java,0.443,9,14,29478
58,Java,0.398,9,14,29240
59,Java,0.314,9,14,43700
60,Java,0.311,9,16,63776
61,Java,0.361,9,15,55474
62,Java,0.426,9,15,57515
63,Java,0.364,9,14,68167
64,Java,0.591,9,16,64602
65,Java,0.271,9,15,48965
66,Java,0.304,9,15,43276
67,Java,0.308,9,14,42800
68,Java,0.316,9,14,39686
69,Java,0.418,9,16,59843
70,Java,0.277,9,15,53748
71,Java,0.463,9,16,62640
72,Java,0.355,9,13,44988
73,Java,0.275,9,16,63905
74,Java,0.339,9,15,52668
75,Java,0.325,9,14,43583
76,Java,0.312,9,14,63438
77,Java,0.308,9,16,61297
78,Java,0.300,9,16,60887
79,Java,0.325,9,16,66929
80,Java,0.275,9,15,48785
81,Java,0.270,9,14,65751
82,Java,0.260,9,17,74287
83,Java,0.299,9,14,63197
84,Java,0.277,9,15,52581
85,Java,0.317,9,14,67823
86,Java,0.344,9,17,72278
87,Java,0.412,9,16,63478
88,Java,0.348,9,14,29040
89,Java,0.295,9,16,63576
90,Java,0.263,9,13,36314
91,Java,0.285,9,12,33068
92,Java,0.272,9,16,63712
93,Java,0.430,9,16,61883
94,Java,0.273,9,14,43860
95,Java,0.291,9,16,52453
96,Java,0.299,9,17,72821
97,Java,0.270,9,16,65468
98,Java,0.303,9,16,65401
99,Java,0.388,9,13,55886
100,Java,0.295,9,16,55409
